nohup: 忽略输入
======random seed done======
all parameters: {'data_name': 'yelp', 'model_name': 'kd_diffnet', 'output_dir': './results', 'gpu': '0', 'social': 1, 'seed': 42, 'gamma': 0.1, 'kd': 0, 'topk': 100, 'learning_rate': 0.001, 'dimension': 64, 'patience': 40, 'batch_size': 5000, 'epochs': 1000, 'regu': 0.001, 'num_negatives': 8, 'num_users': 17220, 'num_items': 35351, 'gcn_layer': 2}
System start to load data...
Data has been loaded successfully, cost:7.1328s
Data has been prepared successfully, cost:4.6033s
Current model is kd_diffnet
Model has been initialized successfully, cost:0.4186s
Following will output the evaluation of the model:
Epoch:1, compute loss cost:3.8821s, train loss:26892.3379, val loss:105696.3125, test loss:105806.3984
Evaluate val cost:6.9147s, recall:0.1013, ndcg:0.0271, aggdiv:0.25335, entory:10.44750
Evaluate test cost:4.5921s, recall:0.1051, ndcg:0.0281, aggdiv:0.25230, entory:10.44339
Epoch:2, compute loss cost:3.3694s, train loss:23300.3535, val loss:78481.0625, test loss:78611.8906
Evaluate val cost:3.9591s, recall:0.1182, ndcg:0.0316, aggdiv:0.11793, entory:9.73636
Evaluate test cost:4.1723s, recall:0.1180, ndcg:0.0316, aggdiv:0.10919, entory:9.73031
Epoch:3, compute loss cost:3.3307s, train loss:14570.3184, val loss:47669.7891, test loss:47646.1172
Evaluate val cost:3.8702s, recall:0.1271, ndcg:0.0340, aggdiv:0.09363, entory:9.65103
Evaluate test cost:4.1436s, recall:0.1267, ndcg:0.0343, aggdiv:0.08102, entory:9.64351
Epoch:4, compute loss cost:3.1909s, train loss:8948.5391, val loss:35560.2734, test loss:35411.5078
Evaluate val cost:3.8760s, recall:0.1342, ndcg:0.0364, aggdiv:0.08749, entory:9.62646
Evaluate test cost:4.2279s, recall:0.1358, ndcg:0.0363, aggdiv:0.07491, entory:9.61646
Epoch:5, compute loss cost:3.1707s, train loss:6787.7622, val loss:30784.4531, test loss:30539.8633
Evaluate val cost:3.8895s, recall:0.1373, ndcg:0.0371, aggdiv:0.08795, entory:9.64467
Evaluate test cost:4.1340s, recall:0.1366, ndcg:0.0368, aggdiv:0.07542, entory:9.63179
Epoch:6, compute loss cost:3.2685s, train loss:5816.6465, val loss:28415.8242, test loss:28120.4082
Evaluate val cost:3.8978s, recall:0.1395, ndcg:0.0386, aggdiv:0.09083, entory:9.65853
Evaluate test cost:4.1474s, recall:0.1393, ndcg:0.0374, aggdiv:0.07824, entory:9.64536
