nohup: 忽略输入
2024-04-28 21:07:43.254941: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
WARNING:tensorflow:From /data/lei_li/anaconda3/envs/py38_tensorflow/lib/python3.8/site-packages/tensorflow/python/compat/v2_compat.py:96: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
======random seed done======
all parameters: {'data_name': 'yelp', 'model_name': 'kd_diffnet', 'output_dir': './results', 'gpu': '0', 'social': 1, 'seed': 42, 'gamma': 1.0, 'kd': 1, 'topk': 100, 'learning_rate': 0.001, 'dimension': 64, 'patience': 40, 'batch_size': 5000, 'epochs': 1000, 'regu': 0.001, 'num_negatives': 8, 'num_users': 17220, 'num_items': 35351, 'gcn_layer': 2}
System start to load data...
Data has been loaded successfully, cost:6.8820s
Data has been prepared successfully, cost:4.3340s
Current model is kd_diffnet
Model has been initialized successfully, cost:0.9334s
Following will output the evaluation of the model:
Epoch:1, compute loss cost:4.8482s, train loss:27083.1680, val loss:108510.5625, test loss:108614.0781
Evaluate val cost:7.7084s, recall:0.0122, ndcg:0.0039, aggdiv:0.98427, entory:14.52038
Evaluate test cost:3.9772s, recall:0.0126, ndcg:0.0035, aggdiv:0.98436, entory:14.51972
Epoch:2, compute loss cost:4.1102s, train loss:26984.8926, val loss:108309.3750, test loss:108409.1719
Evaluate val cost:3.9744s, recall:0.0343, ndcg:0.0099, aggdiv:0.88085, entory:13.70995
Evaluate test cost:4.2087s, recall:0.0360, ndcg:0.0100, aggdiv:0.88269, entory:13.70947
Epoch:3, compute loss cost:4.1818s, train loss:26696.5742, val loss:107174.6094, test loss:107258.2031
Evaluate val cost:3.9914s, recall:0.0605, ndcg:0.0175, aggdiv:0.64770, entory:12.42955
Evaluate test cost:4.0676s, recall:0.0631, ndcg:0.0172, aggdiv:0.64912, entory:12.41859
Epoch:4, compute loss cost:4.0624s, train loss:25646.5195, val loss:102157.6094, test loss:102169.3984
Evaluate val cost:3.9840s, recall:0.0789, ndcg:0.0220, aggdiv:0.52267, entory:11.65942
Evaluate test cost:4.0520s, recall:0.0830, ndcg:0.0223, aggdiv:0.52304, entory:11.64114
Epoch:5, compute loss cost:4.2027s, train loss:22633.1074, val loss:88510.1172, test loss:88352.1250
Evaluate val cost:4.0483s, recall:0.1002, ndcg:0.0277, aggdiv:0.43054, entory:11.11187
Evaluate test cost:4.1479s, recall:0.1041, ndcg:0.0285, aggdiv:0.43023, entory:11.09304
Epoch:6, compute loss cost:4.0924s, train loss:17554.8496, val loss:69633.8828, test loss:69391.7109
Evaluate val cost:3.9238s, recall:0.1212, ndcg:0.0334, aggdiv:0.25128, entory:10.46199
Evaluate test cost:4.1370s, recall:0.1245, ndcg:0.0338, aggdiv:0.26223, entory:10.45781
Epoch:7, compute loss cost:4.0676s, train loss:12223.7637, val loss:51467.2773, test loss:51350.8711
Evaluate val cost:3.9922s, recall:0.1290, ndcg:0.0359, aggdiv:0.17739, entory:10.17077
Evaluate test cost:4.0946s, recall:0.1327, ndcg:0.0361, aggdiv:0.17363, entory:10.16126
Epoch:8, compute loss cost:4.0539s, train loss:8153.7041, val loss:39944.2852, test loss:39900.4492
Evaluate val cost:3.9305s, recall:0.1349, ndcg:0.0373, aggdiv:0.17782, entory:10.16352
Evaluate test cost:4.0387s, recall:0.1364, ndcg:0.0369, aggdiv:0.17258, entory:10.15622
Epoch:9, compute loss cost:4.1374s, train loss:5954.2251, val loss:34738.5234, test loss:34677.9219
Evaluate val cost:3.9370s, recall:0.1402, ndcg:0.0381, aggdiv:0.19137, entory:10.24531
Evaluate test cost:3.9905s, recall:0.1402, ndcg:0.0376, aggdiv:0.18636, entory:10.23455
Epoch:10, compute loss cost:4.0307s, train loss:4835.5503, val loss:32190.5781, test loss:32142.1133
Evaluate val cost:3.9302s, recall:0.1423, ndcg:0.0387, aggdiv:0.20981, entory:10.32652
Evaluate test cost:4.0431s, recall:0.1410, ndcg:0.0378, aggdiv:0.20633, entory:10.31494
Epoch:11, compute loss cost:4.4033s, train loss:4117.7852, val loss:30747.8164, test loss:30700.1172
Evaluate val cost:3.9930s, recall:0.1424, ndcg:0.0387, aggdiv:0.22854, entory:10.41249
Evaluate test cost:4.0554s, recall:0.1415, ndcg:0.0381, aggdiv:0.22576, entory:10.39953
Epoch:12, compute loss cost:4.1749s, train loss:3635.2969, val loss:29851.2148, test loss:29773.9688
Evaluate val cost:4.1529s, recall:0.1450, ndcg:0.0390, aggdiv:0.24896, entory:10.52057
Evaluate test cost:4.5456s, recall:0.1415, ndcg:0.0382, aggdiv:0.24622, entory:10.50646
Epoch:13, compute loss cost:4.1111s, train loss:3247.1211, val loss:29243.9941, test loss:29186.3594
Evaluate val cost:3.9490s, recall:0.1423, ndcg:0.0387, aggdiv:0.27063, entory:10.62414
Epoch:14, compute loss cost:4.3062s, train loss:2946.1321, val loss:28843.4961, test loss:28788.0293
Evaluate val cost:3.9447s, recall:0.1430, ndcg:0.0388, aggdiv:0.29292, entory:10.72875
Epoch:15, compute loss cost:3.9744s, train loss:2678.9146, val loss:28581.5020, test loss:28522.1895
Evaluate val cost:4.1358s, recall:0.1429, ndcg:0.0389, aggdiv:0.31388, entory:10.83179
Epoch:16, compute loss cost:4.2818s, train loss:2455.2048, val loss:28389.8828, test loss:28335.0605
Evaluate val cost:3.9263s, recall:0.1439, ndcg:0.0390, aggdiv:0.33445, entory:10.92986
Epoch:17, compute loss cost:4.0408s, train loss:2258.9106, val loss:28255.4082, test loss:28205.7070
Evaluate val cost:3.9674s, recall:0.1436, ndcg:0.0389, aggdiv:0.35399, entory:11.01541
Epoch:18, compute loss cost:4.0840s, train loss:2098.8433, val loss:28174.7910, test loss:28140.6270
Evaluate val cost:3.9382s, recall:0.1440, ndcg:0.0388, aggdiv:0.37142, entory:11.10532
Epoch:19, compute loss cost:4.3018s, train loss:1950.4954, val loss:28142.6602, test loss:28117.3848
Evaluate val cost:3.9416s, recall:0.1425, ndcg:0.0386, aggdiv:0.38930, entory:11.19328
Epoch:20, compute loss cost:4.2689s, train loss:1806.1016, val loss:28137.8105, test loss:28112.9180
Evaluate val cost:4.0785s, recall:0.1426, ndcg:0.0389, aggdiv:0.40497, entory:11.27292
Epoch:21, compute loss cost:4.1111s, train loss:1697.0298, val loss:28181.8945, test loss:28135.3301
Evaluate val cost:4.0947s, recall:0.1403, ndcg:0.0385, aggdiv:0.41942, entory:11.34913
Epoch:22, compute loss cost:4.2473s, train loss:1584.7379, val loss:28220.7676, test loss:28185.6836
Evaluate val cost:4.1555s, recall:0.1406, ndcg:0.0385, aggdiv:0.43408, entory:11.42142
Epoch:23, compute loss cost:4.2279s, train loss:1490.7018, val loss:28280.4629, test loss:28242.1133
Evaluate val cost:3.9532s, recall:0.1395, ndcg:0.0383, aggdiv:0.44703, entory:11.48933
Epoch:24, compute loss cost:4.1481s, train loss:1402.7439, val loss:28331.6133, test loss:28314.7617
