nohup: 忽略输入
======random seed done======
all parameters: {'data_name': 'yelp', 'model_name': 'kd_diffnet', 'output_dir': './results', 'gpu': '0', 'social': 0, 'seed': 42, 'gamma': 0.1, 'kd': 0, 'topk': 100, 'learning_rate': 0.001, 'dimension': 64, 'patience': 40, 'batch_size': 5000, 'epochs': 1000, 'regu': 0.001, 'num_negatives': 8, 'num_users': 17220, 'num_items': 35351, 'gcn_layer': 2}
System start to load data...
Data has been loaded successfully, cost:7.1650s
Data has been prepared successfully, cost:4.7394s
Current model is kd_diffnet
Model has been initialized successfully, cost:0.3993s
Following will output the evaluation of the model:
Epoch:1, compute loss cost:3.2447s, train loss:27005.2188, val loss:108345.8828, test loss:108449.4531
Evaluate val cost:7.1410s, recall:0.0329, ndcg:0.0097, aggdiv:0.71599, entory:12.98757
Evaluate test cost:3.9541s, recall:0.0319, ndcg:0.0087, aggdiv:0.71466, entory:12.98598
Epoch:2, compute loss cost:2.9912s, train loss:26030.0625, val loss:104546.1094, test loss:104651.6875
Evaluate val cost:3.9264s, recall:0.0776, ndcg:0.0216, aggdiv:0.47413, entory:11.84268
Evaluate test cost:3.9909s, recall:0.0802, ndcg:0.0212, aggdiv:0.47071, entory:11.83632
Epoch:3, compute loss cost:3.0438s, train loss:22620.7676, val loss:90014.3984, test loss:90124.2344
Evaluate val cost:3.9357s, recall:0.0954, ndcg:0.0259, aggdiv:0.36743, entory:11.18245
Evaluate test cost:3.9734s, recall:0.0957, ndcg:0.0253, aggdiv:0.36418, entory:11.17378
Epoch:4, compute loss cost:3.0400s, train loss:16697.7344, val loss:69030.4531, test loss:69120.6484
Evaluate val cost:3.9541s, recall:0.1008, ndcg:0.0272, aggdiv:0.31258, entory:10.88130
Evaluate test cost:3.9816s, recall:0.1023, ndcg:0.0271, aggdiv:0.30644, entory:10.87245
Epoch:5, compute loss cost:3.1246s, train loss:11235.6641, val loss:53233.1250, test loss:53250.3555
Evaluate val cost:3.9701s, recall:0.1072, ndcg:0.0287, aggdiv:0.28814, entory:10.78919
Evaluate test cost:4.1145s, recall:0.1063, ndcg:0.0285, aggdiv:0.28415, entory:10.78028
Epoch:6, compute loss cost:3.2605s, train loss:7884.1509, val loss:44267.3203, test loss:44225.3516
Evaluate val cost:4.0649s, recall:0.1118, ndcg:0.0300, aggdiv:0.28350, entory:10.77719
Evaluate test cost:4.1634s, recall:0.1119, ndcg:0.0298, aggdiv:0.28163, entory:10.76852
Epoch:7, compute loss cost:3.0739s, train loss:5990.3433, val loss:39253.2305, test loss:39180.7383
Evaluate val cost:3.9727s, recall:0.1161, ndcg:0.0311, aggdiv:0.28831, entory:10.79586
Evaluate test cost:4.0076s, recall:0.1153, ndcg:0.0307, aggdiv:0.28551, entory:10.78734
Epoch:8, compute loss cost:3.0503s, train loss:4863.7866, val loss:36252.7109, test loss:36141.2656
Evaluate val cost:3.9700s, recall:0.1192, ndcg:0.0319, aggdiv:0.29776, entory:10.82304
Evaluate test cost:4.1801s, recall:0.1187, ndcg:0.0315, aggdiv:0.29416, entory:10.81425
Epoch:9, compute loss cost:3.0061s, train loss:4110.2808, val loss:34328.1484, test loss:34185.3125
Evaluate val cost:3.9566s, recall:0.1222, ndcg:0.0325, aggdiv:0.31009, entory:10.86373
Evaluate test cost:4.0054s, recall:0.1203, ndcg:0.0319, aggdiv:0.30520, entory:10.85408
Epoch:10, compute loss cost:3.0192s, train loss:3567.0249, val loss:33003.8359, test loss:32843.5820
Evaluate val cost:3.9310s, recall:0.1243, ndcg:0.0330, aggdiv:0.32367, entory:10.90704
Evaluate test cost:4.0597s, recall:0.1216, ndcg:0.0324, aggdiv:0.31841, entory:10.89792
Epoch:11, compute loss cost:3.0552s, train loss:3127.9761, val loss:32071.5781, test loss:31891.8125
Evaluate val cost:3.9799s, recall:0.1239, ndcg:0.0331, aggdiv:0.33589, entory:10.95733
Epoch:12, compute loss cost:3.0339s, train loss:2800.9009, val loss:31391.6914, test loss:31178.9688
Evaluate val cost:3.9902s, recall:0.1235, ndcg:0.0332, aggdiv:0.34930, entory:11.01851
Epoch:13, compute loss cost:3.1098s, train loss:2522.0559, val loss:30867.4688, test loss:30659.9609
Evaluate val cost:3.9930s, recall:0.1243, ndcg:0.0334, aggdiv:0.36426, entory:11.08116
Evaluate test cost:4.0953s, recall:0.1236, ndcg:0.0330, aggdiv:0.35914, entory:11.07216
Epoch:14, compute loss cost:3.0880s, train loss:2292.3257, val loss:30479.4141, test loss:30271.5254
Evaluate val cost:3.9534s, recall:0.1240, ndcg:0.0335, aggdiv:0.37832, entory:11.14733
Epoch:15, compute loss cost:2.9997s, train loss:2082.2690, val loss:30206.7812, test loss:29982.9727
Evaluate val cost:4.1690s, recall:0.1244, ndcg:0.0335, aggdiv:0.39269, entory:11.21257
Evaluate test cost:4.0249s, recall:0.1229, ndcg:0.0330, aggdiv:0.38808, entory:11.20251
